,Unnamed: 0.1,Unnamed: 0,user_id,name,username,description,created_at,followers_count,following_count,following_list,following_agentid_list,previous_tweets,tweets_id,activity_level_frequency,activity_level,user_char
37,37,37,1637976289,Master Bruce Wayne,MasterBmanWayne,⠀ ⠀║The Guardian Of Gotham City║ ⠀ ⠀⠀⠀ ⠀ ⠀ #Batman #DCEU Update #DCRP #Comic,2013-08-01 13:09:20+00:00,555,123,"['2344868827', '3769927519', '2765062486', '2281664328', '1001524393']","[34, 45, 2, 127, 16]","['@Amazonsprincess ผมเหรอผ้าห่มของคุณ', '@Amazonsprincess กลับบ้านกัน หนาวมาก', '@Amazonsprincess /มองไปแล้วตักไป', '@Amazonsprincess /มอง', '@Amazonsprincess *นั่งรอเพราะสั่งรัมเรซินไปแล้ว*']","[692342896243122176, 692332013173366784, 692310716884213760, 692308346263633920, 692274280428605440]","[0, 13, 56, 136, 132, 47, 49, 86, 96, 77, 100, 57, 38, 29, 83, 90, 122, 53, 13, 4, 0, 0, 0, 0]","['off_line', 'busy', 'normal', 'active', 'active', 'normal', 'normal', 'normal', 'active', 'normal', 'active', 'normal', 'normal', 'busy', 'normal', 'active', 'active', 'normal', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line']","Master Bruce Wayne, known as ""The Guardian Of Gotham City,"" is a mysterious and dedicated individual who displays a strong sense of justice. With a passion for all things Batman, DCEU updates, and comics, MasterBmanWayne engages in interactions with fellow enthusiasts online. Despite a modest follower count, the account showcases a keen interest in engaging with others who share a similar love for the hero's universe. The username suggests a deep connection to the Batman persona, hinting at a vigilant and protective nature."
38,38,38,64137996,ethan🇵🇭,swimethan,DC/Marvel/Cinephile/WWE and currently surviving life,2009-08-09 08:22:43+00:00,933,3143,"['26995107', '2897285323', '632173421', '3646911', '2765062486', '3229108261', '1301529636', '3769927519', '1001524393']","[104, 52, 92, 43, 2, 123, 50, 45, 16]","['@Strawburry17 who is sup part 3?', '@Strawburry17 have you watched this anime called sword art online before?', '@GarethBale22 @BatmanvSuperman when two titans are fighting there needs to be consequences not marvel level consequence (Except AOU)', '@OrbytPlay everything XD', '@TheRealGrimmie this is better than the kanye and wiz feud XD #GrimmieSideAFeb21']","[692496587071823872, 692495293997301760, 692491900453019648, 692486273802596352, 692464444232880138]","[58, 32, 58, 54, 66, 85, 57, 38, 39, 6, 1, 0, 0, 8, 39, 62, 33, 64, 134, 93, 59, 50, 64, 74]","['normal', 'normal', 'normal', 'normal', 'normal', 'normal', 'normal', 'normal', 'normal', 'busy', 'off_line', 'off_line', 'off_line', 'busy', 'normal', 'normal', 'normal', 'normal', 'active', 'active', 'normal', 'normal', 'normal', 'normal']","Ethan🇵🇭, known as swimethan, is a dedicated DC/Marvel fan, avid cinephile, and WWE enthusiast. With a Twitter account created in 2009, he engages in discussions about various topics ranging from anime to big-screen titans clashing. Ethan🇵🇭's active presence on Twitter showcases his diverse interests and passion for entertainment."
39,39,39,3289390604,Nona Sanz,nona_sanz,next SUICIDE SQUAD!!!!!,2015-07-24 04:47:31+00:00,53,287,"['26995107', '3229108261', '233746010', '3769927519', '1001524393', '2453827780', '364651031', '2281664328', '2259800258', '1301529636', '592815294', '1903077054']","[104, 123, 120, 45, 16, 47, 106, 127, 46, 50, 75, 79]","['I want #kilowog in DCEU https://t.co/VnK1p4WNqI', 'Manusia Kelelawar melawan Manusia Super, Awal dari keadilan &gt;&gt; BvS: DoJ in Indonesia', '@nona_sanz march 25-27 big holiday for good Friday.. so yeah good time :)', '@tebeXwijaya iyaaa suka batman soalnya', 'Deadpool will play on lunar new year holiday. Yeah.. great :)']","[692370260939280384, 692364479024218112, 692361541472034816, 692360243548938240, 692360058030559232]","[11, 4, 11, 9, 2, 3, 2, 3, 1, 2, 7, 7, 20, 15, 20, 14, 4, 1, 0, 0, 0, 0, 2, 8]","['busy', 'off_line', 'busy', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy']","Nona Sanz is a passionate and enthusiastic individual with a strong interest in comic book culture, particularly the DCEU and superhero movies. As a fan of the Suicide Squad, Nona eagerly anticipates the next film installment. Despite having a small following on Twitter, Nona engages actively with her followers through discussions about superheroes and upcoming movie releases. She enjoys interacting with others who share her interests and is known for her positive and friendly interactions on the platform."
40,40,40,51567066,Marco Issa,marco_issa,,2009-06-27 21:50:09+00:00,1127,2753,"['3646911', '752472211', '364651031', '3229108261', '64137996', '2281664328', '1903077054', '310467940', '632173421']","[43, 90, 106, 123, 38, 127, 79, 85, 92]","['#NowWatching SPOTLIGHT', '#NowWatching CREED', '#NowWatching brooklyn https://t.co/cmEabe2b55', '#NowWatching steve jobs (2015) https://t.co/1v7Gqs6Rrc', 'The revenant.its not a perfect movie but still very good to watch.awesome cinematography and direction.dicaprio is fantastic.8/10']","[692393789126766598, 691990851392782337, 691634062549712896, 690911915682439169, 690485642023800833]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 18, 0, 8, 2, 2, 1, 9, 3, 3, 1, 2, 1, 0]","['off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'off_line', 'busy', 'off_line', 'off_line', 'off_line', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line']","Marco Issa is a movie enthusiast who shares his current film picks and reviews on Twitter. With a following count higher than his followers, he appears to have a broad interest in cinema and enjoys engaging with diverse content. Despite the high number of people he follows, his loyal follower count suggests he has a dedicated audience who appreciates his film recommendations. Marco seems to appreciate cinematography and direction in movies and is known for sharing his opinions on his favorite films, adding a personal touch to his feed."
41,41,41,393664969,Craig Harlow,HarlowC,"Spurs ST holder (South stand) who loves Batman/Robin/Nightwing, Star Wars, Daredevil, Titans, Comics, Movies and 80's pop culture.",2011-10-18 21:51:58+00:00,1862,964,"['2147938057', '26995107', '3646911', '1001524393']","[4, 104, 43, 16]","['@Demonpuppy @AquamanShrine Tempest!!', '@heroichollywood #Justice League vs Darkseid', ""@RickSpur Don't forget £65-75k of Ade's wages"", '@DailyPlanetDC Nightwing, The Question, Bronze Tiger, Green Arrow, Roy Harper, Deathstroke; Red Hood; Black Canary; Mr. Freeze;  Lady Shiva', '@mcharlieturner @HotspurLane When was the last time the Daily Express scooped any transfer....']","[692449945832574977, 692437772452388869, 692412748215508992, 692411176903430144, 692409851499126785]","[7, 3, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 4, 2, 1, 3, 12, 9, 6, 22, 30, 18, 1]","['busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'active', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'busy', 'busy', 'active', 'busy', 'off_line']","Character Description:
Craig Harlow, known as HarlowC on Twitter, is a dedicated Spurs South Stand holder who is passionate about Batman, Robin, Nightwing, Star Wars, Daredevil, Titans, comics, movies, and 80's pop culture. With a strong presence on Twitter since 2011, Craig engages in discussions about comic books, superheroes, and sports, showcasing his knowledge and enthusiasm for these topics. His tweets reflect a mix of fandom-related content, updates on sports, and interactions with other users who share his interests. Craig's active engagement with a following of 1862 and a diverse range of interests makes him a friendly and knowledgeable presence in these online communities."
42,42,42,3368688699,Patricia Cheevers,PatriciaCheeve2,,2015-07-10 05:00:49+00:00,627,655,"['2281664328', '592815294', '3646911']","[127, 75, 43]","['@LuciferonFOX @tomellis17 @instagram Thanks for sharing! #LuciferonFox 😈', ""@SteffanieACL @BrianEntin @WPTV That's terrible! I hope everyone's okay. 😯"", '@Leemitage @RyanGage @God_of_Strife @RyanGageArmy @DebDarkPetal I love this scene! He looks so innocent. 😒', '@SteffanieACL Well, just be careful!!!!!!!😰😟', '@SteffanieACL And are you prepared if you have to leave?']","[692497000831533056, 692496614074781700, 692458884049571841, 692450280932298753, 692445218348613633]","[11, 15, 9, 11, 1, 6, 5, 0, 0, 0, 2, 0, 11, 8, 9, 24, 18, 13, 12, 13, 28, 17, 26, 23]","['busy', 'busy', 'busy', 'busy', 'off_line', 'busy', 'active', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy']","Patricia Cheevers, known as PatriciaCheeve2 on Twitter, is an engaging and compassionate individual with a penchant for connecting with others. Her timeline is filled with a mix of interactions, ranging from expressing concern for others to sharing genuine admiration for scenes in TV shows. Patricia has garnered a substantial following and is actively involved in conversations within the Twitter community. Her warmth and empathy shine through in her tweets, making her a supportive presence online."
43,43,43,3646911,Empire Magazine,empiremagazine,The world's biggest (and best) movie magazine. Talking TV over at @pilottvpod.,2007-04-06 19:02:38+00:00,621035,627,[],[],"[""Exclusive: @ZackSnyder sought Christopher Nolan's blessing for #Batman v #Superman: https://t.co/7zyqxrJRH9 https://t.co/hzHEj3eHzw"", 'ICYMI: @ZackSnyder asked Christopher Nolan for his blessing on #Batman v #Superman: https://t.co/X1IkhqwHuk https://t.co/2yKApS041v', '#Deadpool encourages you to touch yourself in a PSA for testicular cancer awareness: https://t.co/jo2UE0FMO2 #TouchYourselfTonight', ""ICYMI: #TheXFiles' Walter Skinner (aka @MitchPileggi1) pulls back the curtain... https://t.co/ctfJ1L1X2S https://t.co/TF8cLLHCqA"", '""We\'re about to clash with that motherfucker."" Norman Reedus talks #TheWalkingDead\'s Negan https://t.co/mzrFX2navQ https://t.co/oIE8G2Hvao']","[692398179841605632, 692474921461493760, 692454567338881024, 692452153206550528, 692421957191503872]","[19, 18, 5, 6, 6, 0, 3, 3, 4, 9, 27, 29, 23, 28, 24, 22, 18, 36, 27, 19, 23, 20, 13, 13]","['busy', 'busy', 'active', 'busy', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'normal', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy']","Empire Magazine is a well-established movie magazine with a passion for bringing exclusive insights and behind-the-scenes stories to its dedicated followers. With a strong engagement on Twitter, they share intriguing content about movies and TV shows, often featuring interviews and updates from the film industry. Their tweets reflect a mix of entertaining news, fan interactions, and thought-provoking discussions, establishing them as a go-to source for entertainment enthusiasts."
44,44,44,99839116,Kryptonian,kriptoniankal,Harás de mi fuerza la tuya. Verás mi vida a través de tus ojos y yo la tuya a través de los mios. El hijo se convertirá en padre y el padre en hijo.,2009-12-28 02:36:08+00:00,452,495,"['2281664328', '1001524393']","[127, 16]","['#Superman \n@BatmanvSuperman #WhoWillWin https://t.co/vETYfgGrhx', '#Batman v #Superman https://t.co/hkeLL0Afs3', '#Superman  https://t.co/Sc8k79ckKB', '#Superman', '@enanitta Hey https://t.co/fjPmjlnK8o']","[691780610537431040, 691358753313181697, 691346878198370304, 691344943290413057, 690619212319035392]","[1, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 1, 1, 2, 4, 1, 1, 0, 0]","['off_line', 'off_line', 'off_line', 'active', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line']","Kryptonian, known on Twitter as @kriptoniankal, exudes a sense of profound connection and mutual understanding in their descriptions. With a following count of 495 and 452 followers since account creation in 2009, Kryptonian's tweets often revolve around the iconic superhero, Superman, and occasionally engage with other users, such as mentioning @enanitta. Their personality is likely to be introspective, philosophical, and deeply empathetic, embodying the idea of shared experiences and interconnectedness."
45,45,45,3769927519,DCU News,dceufacts,"Devoted to posting cool DC Extended (Cinematic) Universe updates and news! Follow for speedy, often as-it-breaks DC Films News.",2015-10-03 12:18:50+00:00,18630,14,['26995107'],[104],"[""@heterostraight And to think I didn't realise Gal was born from clay and hailed from Themysrica in real life. I'm mean to be the facts one!"", ""@jordz8687 I'd love you to find a time I've EVER mentioned the MCU in a tweet negatively. Go on, off you pop."", ""@Retrohan Oh no, if you criticise anything Marvel and aren't really into their movies but anticipate the DCEU you're a fanboy and a shill."", ""@GreenleafQuinn @theonetruecarl Who aren't obliged to like any or everything the studios put out, you can like both- or either."", ""@GreenleafQuinn @theonetruecarl Let's remember Marvel wouldn't exist without DC period, and we're all just fans of superhero cinema.""]","[692366934055206915, 692362878419128320, 692362696763768832, 692358859990679552, 692358704730103813]","[46, 48, 55, 54, 17, 28, 37, 49, 23, 13, 21, 31, 19, 15, 27, 18, 1, 0, 0, 0, 0, 0, 9, 24]","['normal', 'normal', 'normal', 'normal', 'busy', 'busy', 'normal', 'normal', 'busy', 'busy', 'busy', 'normal', 'busy', 'busy', 'busy', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy']","DCU News, known as dceufacts on Twitter, is a dedicated and passionate source for DC Extended Universe updates and news. With a substantial following of 18,630, they strive to provide quick and accurate information to their audience. Their tweets reflect a strong loyalty to the DC universe and a willingness to engage in friendly debates with followers who express differing opinions."
46,46,46,2259800258,Material Girl,itsss_heaven,Material World by Heaven 🤍 Drop 1 coming soon!,2013-12-24 04:44:31+00:00,5266,558,"['20295588', '516924058', '4747574007', '2765062486', '2267599075', '3000787195', '3229108261', '183768366', '364651031']","[48, 98, 86, 2, 54, 125, 123, 81, 106]","['@clarrkkents love you more 😘', ""you correct someone on something they did't understand... then you screenshot it &amp; say ur exposing them ??? im so confused"", 'you are so childish https://t.co/UdoPQRwTKz', 'CLORK KELLOGS https://t.co/VfJOxjd8dB', 'bruuuu swaynne https://t.co/xmvvyVpE3G']","[692495730037104640, 692488156269133829, 692487339604602880, 692476522981097472, 692474802272083968]","[51, 58, 103, 81, 55, 59, 29, 22, 26, 5, 1, 8, 2, 11, 29, 28, 16, 10, 21, 52, 68, 40, 41, 48]","['normal', 'normal', 'active', 'normal', 'normal', 'normal', 'busy', 'busy', 'busy', 'active', 'off_line', 'busy', 'off_line', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'normal', 'normal', 'normal', 'normal', 'normal']","Material Girl, known as itsss_heaven on Twitter, is a trendy and enthusiastic individual with a passion for fashion as indicated by their username and bio. With a substantial following, they are likely seen as influential within their community. Based on their sample tweets, Material Girl appears to be affectionate, straightforward, and at times assertive. Their Twitter activity reflects a mix of personal interactions, humor, and perhaps some occasional spats or misunderstandings with other users."
47,47,47,2453827780,Mantinium,DrJekyill,"there's something you need to know about me, I adore Man of Steel.",2014-04-02 02:13:12+00:00,540,1556,"['26995107', '64137996', '183768366', '341327554', '752472211', '1603580958', '3229108261', '2982787581', '191940361', '2267599075', '233746010', '1416471446', '1849355124', '3769927519', '632173421', '2259800258', '3289390604', '2897285323', '20295588', '2765062486', '364651031', '1903077054', '3012534790', '3297043269', '1301529636', '3646911', '1001524393', '592815294']","[104, 38, 81, 97, 90, 13, 123, 26, 9, 54, 120, 109, 60, 45, 92, 46, 39, 52, 48, 2, 106, 79, 126, 129, 50, 43, 16, 75]","['@deviouscanary @heroichollywood cyborg and that singularity has me like https://t.co/IClyBkzDEl', 'No😒😯😑😐😭😂😅😂😭😂😭😅😂😂😅😭😅😅😂😅😂😅😂😅😂😅😂😅😅😂😅 https://t.co/OqauJHV9Uw', ""@BennettWins @Jawiin and thinking Man of Steel is a great movie,shouldn't be trolled https://t.co/v2IpHDBOo7"", ""@Jawiin @DopeSamurai @screenrant it's simple really I love Man of Steel and the haters can't stand it,while I'm 😂😅😂😅 https://t.co/9csLbCtdtj"", '@AgentBigfoot @JoshCostella Hes an idiot I clashed with him back in the day,a complete tool']","[692497201226989568, 692496881579102208, 692495346472218625, 692494617778978816, 692492713065869312]","[19, 4, 3, 0, 0, 2, 0, 0, 4, 1, 2, 4, 8, 0, 8, 24, 13, 9, 50, 42, 13, 11, 7, 15]","['busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'off_line', 'busy', 'busy', 'busy', 'busy', 'normal', 'normal', 'busy', 'busy', 'busy', 'busy']","Mantinium, known as DrJekyill on Twitter, is a dedicated fan of the movie ""Man of Steel"" and is not shy about expressing his love for it. With a significant following and a passion for defending his favorite film against critics, Mantinium's Twitter feed is a mix of engaging in debates, sharing memes related to superheroes, and standing up for what he believes in. Despite some clashes with others, he remains loyal to his interests and values."
48,48,48,20295588,denim-wrapped nightmares,jenelle_sequea,†Jesus is LORD† John 3:30 ✰I like my coffee black✰ Kristen Stewart • Supernatural • Batman • DC • The Chosen • Horror • Snyder • Nolan • Sandberg • Bibliophile,2009-02-07 05:29:38+00:00,1576,713,"['26995107', '364651031', '2765062486', '393664969', '632173421', '165180034', '3229108261', '3769927519', '233746010', '2453827780', '2267599075', '2281664328', '1301529636', '592815294']","[104, 106, 2, 41, 92, 14, 123, 45, 120, 47, 54, 127, 50, 75]","['That chin says otherwise.  https://t.co/RUDDfSV2fC', 'I love how people are like critics WILL hate #BatmanvSuperman but fans will love it. Bitch how do you know?! Sit down.', '@clarrkkents he deleted his account?!', '@redqueen82 good grief things have gotten crazy. Haha.', 'Whoah I just woke up to Twitter war. DC vs Marvel. What the heck is going on?']","[692381908915916800, 692381647744995333, 692375154391961600, 692371343422181378, 692370815459934209]","[111, 121, 191, 153, 169, 47, 23, 9, 5, 2, 14, 109, 56, 9, 11, 27, 60, 36, 50, 46, 51, 12, 59, 88]","['active', 'active', 'active', 'active', 'active', 'normal', 'busy', 'busy', 'active', 'off_line', 'busy', 'active', 'normal', 'busy', 'busy', 'busy', 'normal', 'normal', 'normal', 'normal', 'normal', 'busy', 'normal', 'normal']","Jenelle_sequea, also known as denim-wrapped nightmares, is a devout individual who finds solace in faith and enjoys the dark allure of supernatural themes, horror, and DC comics. With a love for strong female leads like Kristen Stewart, she engages in discussions on Batman, Snyder, Nolan, and other related topics. A bibliophile at heart, Jenelle_sequea's Twitter feed reflects her passion for these interests, often sharing opinions and engaging in lively conversations with a following that appreciates her unique perspective."
49,49,49,68825498,Сaяoliηe,carolicious7,"In every ending, there is a new beginning",2009-08-25 22:40:27+00:00,378,279,['592815294'],[75],"['Por Ryan vere esa pelicula ♡ https://t.co/CnFW4gDmOQ', 'Esa famewhore  como imagen de Calvin Klein 😷', 'Doble capitulo 👽 #TheXFilesEnFOX', 'No jodan el fumador está vivo, es inmortal o que? Jajajaja #TheXFiles', 'Precisamente hoy la señal del cable está fallando y yo quiero ver The XFiles 😭']","[692208178675781632, 692142501415784449, 691846380671877120, 691845613831479297, 691816686249443328]","[18, 31, 37, 23, 12, 2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 1, 3, 4, 4, 1]","['busy', 'normal', 'normal', 'busy', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line']","Caroline, known as carolicious7, embodies resilience and optimism with her belief that in every ending, there is a new beginning. With a diverse range of interests including movies, fashion, and sci-fi, she engages her 378 followers with witty commentary and enthusiasm. Caroline's Twitter feed reflects her vibrant personality, blending humor with insightful observations on various topics."
50,50,50,1301529636,Henry Cavill News,HenryCavillNews,"Bringing you the most up-to-date info on Henry's projects plus exclusive interviews, pics. Follow his official accounts on FB/Instagram: @HenryCavill",2013-03-25 23:11:39+00:00,64486,13077,"['3769927519', '58822055', '3229108261', '233746010', '2897285323', '1903077054', '125771211', '2453827780', '364651031', '2281664328', '1558077944', '472476153', '2259800258']","[45, 25, 123, 120, 52, 79, 84, 47, 106, 127, 74, 116, 46]","['""And you, you lucky things, have t/chance to win it."" Henry Cavill about his 1st car👌🏻WATCH https://t.co/gOC6R550Zx https://t.co/hInErBm6Oz', ""@_DCWorld I think you are right. That's the whole point of a clone. To fool the masses aka us. @cineloon @empiremagazine"", 'Bizarro: ""Mirror image of Superman."" Hmmm, Henry Cavill https://t.co/SFPqggIIwa #BatmanvSuperman https://t.co/KS9TQt8QSh', '""And you, you lucky things, have t/chance to win it."" Henry Cavill about his 1st car👌🏻WATCH https://t.co/gOC6R550Zx https://t.co/hInErBm6Oz', 'NEW: Join Henry Cavill in @TheDurrellChall this May! - His message to you &amp; all the details https://t.co/gOC6R550Zx https://t.co/ge56XWUXas']","[692355814707765248, 692440809958936576, 692425199464030208, 692355814707765248, 692348713944002562]","[5, 6, 5, 3, 1, 3, 0, 0, 0, 2, 0, 2, 1, 5, 13, 11, 7, 20, 5, 8, 12, 11, 6, 11]","['active', 'busy', 'active', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'active', 'busy', 'busy', 'busy', 'busy', 'active', 'busy', 'busy', 'busy', 'busy', 'busy']","Henry Cavill News is a dedicated and enthusiastic fan account that provides the latest updates on Henry Cavill's projects, exclusive interviews, and photos. With a substantial following, this account keeps fans engaged with exciting content and highlights from Henry's career. Active and engaging on Twitter, HenryCavillNews shares insights, news, and fun interactions related to the talented actor."
51,51,51,2768912787,Timoyr,Timoyr3,"🇫🇮

A fan of most entertainment.",2014-09-13 14:10:25+00:00,120,281,"['3769927519', '1001524393']","[45, 16]","['@heroichollywood @elmayimbe JL vs Darkseid.\nDarkseid is far more superior character and the JL is more powerful, so the fight is cooler.', ""@NickiValiant @JaeRoar I'm european and we don't really distinct hispanic people as their own race. Which is why race in US is weird to me."", ""@JaeRoar @NickiValiant Aren't you hispanic/Latino? Sorry, if I offended you, race in america confuses me."", '@JaeRoar It could be a dude though. Ezra is Bi and they might want to be more ""diverse""', '@grantgust @ I noticed that @TheCW_Legends pilot was on @Netflix_FI just days after US premiere. Any change for @CW_TheFlash to do the same?']","[692447236316385280, 692445947792625665, 692444972788924416, 692443917141307393, 692441680587460610]","[17, 16, 7, 10, 12, 6, 8, 6, 15, 15, 2, 1, 3, 4, 5, 5, 13, 15, 19, 25, 20, 17, 12, 16]","['busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'active', 'active', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy']","Meet Timoyr, a Finnish entertainment enthusiast known for his thoughtful and diverse interactions on Twitter. With an account created in 2014, Timoyr has amassed a following of 120 individuals while following 281 accounts. His tweets exhibit a keen interest in various topics, including superhero battles, cultural differences, and TV show premieres. Timoyr's engagement reflects a curious and open-minded persona, always eager to share insights and engage in discussions with others. 🇫🇮"
52,52,52,2897285323,Cal,wyattyhalpert,Screen loving guy with far too much stock in fictional things,2014-11-12 06:54:40+00:00,2891,404,"['26995107', '64137996', '632173421', '3229108261', '1301529636', '3646911', '3769927519', '364651031', '1001524393']","[104, 38, 92, 123, 50, 43, 45, 106, 16]","[""Didn't think they'd admit this. Particularly when the whole show's ostensibly 'internet inspired' nowadays. https://t.co/uJYv4ai0Nh"", '@derbykid Kindness, compassion, power, weariness- sure is!', '@ianbassett4 @VisualMaximusYT @jordz8687 @ZoomEarth_2 @Tehsupercow Which is, shock horror, what that number on RT actually means!', 'Could it be the MCU is not 100% perfect at all, and as film fans, DC completely aside, one is free to criticize it? https://t.co/RAp8UNnyic', ""@jordz8687 @VisualMaximusYT @Tehsupercow @ZoomEarth_2 TASM is a perfectly fine film, if Disney made it you'd be worshiping it.""]","[692379572424327169, 692371601124274176, 692366350484905984, 692364481255477248, 692363937422123008]","[59, 46, 45, 43, 30, 20, 33, 41, 20, 24, 19, 46, 20, 29, 54, 30, 4, 0, 0, 0, 0, 0, 10, 35]","['normal', 'normal', 'normal', 'normal', 'active', 'busy', 'normal', 'normal', 'busy', 'busy', 'busy', 'normal', 'busy', 'busy', 'normal', 'active', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'normal']","Cal, known online as wyattyhalpert, is a screen-loving individual with a fervent passion for fictional realms. With a following of 2891 and an engaging Twitter presence, Cal enjoys discussing various media topics ranging from film criticisms to TV show musings. Their insightful tweets often reflect a deep appreciation for storytelling and a willingness to engage in lively discourse with fellow enthusiasts."
53,53,53,258394463,Cragsi,Cragsi_77,"Scouse, 45. ♡ Jen, Lozza, Caleb, 💔🌈🐶Mooska🐶🌈💔, Coco ♡",2011-02-27 16:40:43+00:00,894,1651,"['2965843095', '3646911']","[76, 43]","['@wardides Haha. Cheers fella.', ""@wardides Always done it myself like. No one's said anything."", ""@wardides @mooney_88 That's what it's there for! Besides barging ya opponent into it."", ""@isDARTHVADER Leia's looking woof! #Sorry"", '@adamheath Still listens to Sisqos Unleash the Dragon in his bedroom.']","[692468068019277824, 692467811931811841, 692467279813033984, 692453756638728192, 692453419274129409]","[9, 4, 5, 2, 1, 0, 0, 0, 0, 3, 9, 9, 9, 23, 16, 14, 7, 12, 11, 16, 22, 29, 26, 10]","['busy', 'off_line', 'active', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy', 'busy']","Cragsi_77, known as Cragsi, is a 45-year-old Scouse individual who deeply cares for their partner Jen, friend Lozza, son Caleb, and beloved dogs Mooska and Coco. With a loyal following of 894 on Twitter since joining in 2011, Cragsi is active on the platform, engaging in friendly banter and sharing personal anecdotes. They come across as sociable, humorous, and affectionate towards their loved ones, embodying a mix of warmth and playful banter in their interactions."
54,54,54,2267599075,Concon,Jeswin_A,,2013-12-29 16:16:12+00:00,463,2270,[],[],[],[],"[16, 17, 21, 19, 15, 12, 11, 10, 10, 8, 9, 11, 13, 12, 16, 19, 19, 19, 21, 21, 21, 20, 19, 18]",['off_line'],"Concon, known as Jeswin_A on Twitter, is a long-standing user with a substantial following. Despite following a large number of accounts, Concon has a moderate number of followers. Their Twitter activity suggests a willingness to engage with a diverse range of content. Concon may be perceived as sociable, open-minded, and actively involved in the Twitter community."
